"Location","Control Program","Name","Type","Object ID","Device ID","Object Name","Path"
"/Sif-Solo/Site 1 - Sif/Charleston Road North/B60 - 1489 Charleston/Roof","AC-1 Trane Intellipak / 1489 Charleston","DAT","BAI","AI:1","DEV:2806104","dat_1","#g1489charleston_trane_intellipak/dat"
"/Sif-Solo/Site 1 - Sif/Charleston Road North/B60 - 1489 Charleston/Roof","AC-1 Trane Intellipak / 1489 Charleston","Duct Static Pressure","BAI","AI:3","DEV:2806104","tci_duct_static_1","#g1489charleston_trane_intellipak/tci_duct_static"
"/Sif-Solo/Site 1 - Sif/Charleston Road North/B60 - 1489 Charleston/Roof","AC-1 Trane Intellipak / 1489 Charleston","RAT","BAI","AI:2","DEV:2806104","rat_1","#g1489charleston_trane_intellipak/rat"
"/Sif-Solo/Site 1 - Sif/Charleston Road North/B60 - 1489 Charleston/Roof","AC-1 Trane Intellipak / 1489 Charleston","AC Alarm","BBI","BI:1","DEV:2806104","ac_alarm_status_1","#g1489charleston_trane_intellipak/ac_alarm_status"
"/Sif-Solo/Site 1 - Sif/Charleston Road North/B60 - 1489 Charleston/Roof","AC-1 Trane Intellipak / 1489 Charleston","Dirty Filter Alarm","BBI","BI:2","DEV:2806104","dirtyfilteralarm_1","#g1489charleston_trane_intellipak/dirtyfilteralarm"
"/Sif-Solo/Site 1 - Sif/Charleston Road North/B60 - 1489 Charleston/Roof","AC-1 Trane Intellipak / 1489 Charleston","SA Fan Status","BBI","BI:4","DEV:2806104","safanstatus_1","#g1489charleston_trane_intellipak/safanstatus"
"/Sif-Solo/Site 1 - Sif/Charleston Road North/B60 - 1489 Charleston/Roof","AC-1 Trane Intellipak / 1489 Charleston","Smoke Detector","BBI","BI:3","DEV:2806104","smoke_alarm_1","#g1489charleston_trane_intellipak/smoke_alarm"
"/Sif-Solo/Site 1 - Sif/Charleston Road North/B60 - 1489 Charleston/Roof","AC-1 Trane Intellipak / 1489 Charleston","Duct Static STPT","BAO","AO:1","DEV:2806104","tci_sa_static_1","#g1489charleston_trane_intellipak/tci_sa_static"
"/Sif-Solo/Site 1 - Sif/Charleston Road North/B60 - 1489 Charleston/Roof","AC-1 Trane Intellipak / 1489 Charleston","Economizer","BAO","AO:2","DEV:2806104","econ_1","#g1489charleston_trane_intellipak/econ"
"/Sif-Solo/Site 1 - Sif/Charleston Road North/B60 - 1489 Charleston/Roof","AC-1 Trane Intellipak / 1489 Charleston","SAT STPT Reset","BAO","AO:3","DEV:2806104","satstptreset_1","#g1489charleston_trane_intellipak/satstptreset"
"/Sif-Solo/Site 1 - Sif/Charleston Road North/B60 - 1489 Charleston/Roof","AC-1 Trane Intellipak / 1489 Charleston","Unit Enable","BBO","BO:1","DEV:2806104","unitenable_1","#g1489charleston_trane_intellipak/unitenable"
"/Sif-Solo/Site 1 - Sif/Charleston Road North/B60 - 1489 Charleston/Roof","AC-1 Trane Intellipak / 1489 Charleston","CO2 Reset Signal From VAVs","BAV","AV:1","DEV:2806104","co2_reset_from_vavs_1","#g1489charleston_trane_intellipak/co2_reset_from_vavs"
"/Sif-Solo/Site 1 - Sif/Charleston Road North/B60 - 1489 Charleston/Roof","AC-1 Trane Intellipak / 1489 Charleston","Economizer Setpoint","BAV","AV:3","DEV:2806104","ec_setpt_1","#g1489charleston_trane_intellipak/ec_setpt"
"/Sif-Solo/Site 1 - Sif/Charleston Road North/B60 - 1489 Charleston/Roof","AC-1 Trane Intellipak / 1489 Charleston","Effective RAT","BAV","AV:4","DEV:2806104","eff_rat_1","#g1489charleston_trane_intellipak/eff_rat"
"/Sif-Solo/Site 1 - Sif/Charleston Road North/B60 - 1489 Charleston/Roof","AC-1 Trane Intellipak / 1489 Charleston","Output Override","BAV","AV:13","DEV:2806104","econ_ovrde_1","#g1489charleston_trane_intellipak/econ_ovrde"
"/Sif-Solo/Site 1 - Sif/Charleston Road North/B60 - 1489 Charleston/Roof","AC-1 Trane Intellipak / 1489 Charleston","RA Temp avo","BAV","AV:7","DEV:2806104","ra_temp_avo_1","#g1489charleston_trane_intellipak/ra_temp_avo"
"/Sif-Solo/Site 1 - Sif/Charleston Road North/B60 - 1489 Charleston/Roof","AC-1 Trane Intellipak / 1489 Charleston","Duct Static Pressure","BAV","AV:5","DEV:2806104","stat_press_1","#g1489charleston_trane_intellipak/stat_press"
"/Sif-Solo/Site 1 - Sif/Charleston Road North/B60 - 1489 Charleston/Roof","AC-1 Trane Intellipak / 1489 Charleston","SA Static Setpoint","BAV","AV:6","DEV:2806104","sa_static_stpt_1","#g1489charleston_trane_intellipak/sa_static_stpt"
"/Sif-Solo/Site 1 - Sif/Charleston Road North/B60 - 1489 Charleston/Roof","AC-1 Trane Intellipak / 1489 Charleston","Supply Air Temp","BAV","AV:17","DEV:2806104","sa_temp_bvo_1","#g1489charleston_trane_intellipak/sa_temp_bvo"
"/Sif-Solo/Site 1 - Sif/Charleston Road North/B60 - 1489 Charleston/Roof","AC-1 Trane Intellipak / 1489 Charleston","System Runtime Request","BAV","AV:8","DEV:2806104","sys_run_req_1","#g1489charleston_trane_intellipak/sys_run_req"
"/Sif-Solo/Site 1 - Sif/Charleston Road North/B60 - 1489 Charleston/Roof","AC-1 Trane Intellipak / 1489 Charleston","Total Airflow","BAV","AV:9","DEV:2806104","total_airflow_1","#g1489charleston_trane_intellipak/total_airflow"
"/Sif-Solo/Site 1 - Sif/Charleston Road North/B60 - 1489 Charleston/Roof","AC-1 Trane Intellipak / 1489 Charleston","Total Airflow Percent","BAV","AV:10","DEV:2806104","total_airflow_pct_1","#g1489charleston_trane_intellipak/total_airflow_pct"
"/Sif-Solo/Site 1 - Sif/Charleston Road North/B60 - 1489 Charleston/Roof","AC-1 Trane Intellipak / 1489 Charleston","Total Cool Request","BAV","AV:11","DEV:2806104","total_cl_req_1","#g1489charleston_trane_intellipak/total_cl_req"
"/Sif-Solo/Site 1 - Sif/Charleston Road North/B60 - 1489 Charleston/Roof","AC-1 Trane Intellipak / 1489 Charleston","Total Heat Request","BAV","AV:12","DEV:2806104","total_ht_req_1","#g1489charleston_trane_intellipak/total_ht_req"
"/Sif-Solo/Site 1 - Sif/Charleston Road North/B60 - 1489 Charleston/Roof","AC-1 Trane Intellipak / 1489 Charleston","Econ Enable Status","BBV","BV:5","DEV:2806104","eok_1","#g1489charleston_trane_intellipak/eok"
"/Sif-Solo/Site 1 - Sif/Charleston Road North/B60 - 1489 Charleston/Roof","AC-1 Trane Intellipak / 1489 Charleston","Exh Fan Intlck","BBV","BV:1","DEV:2806104","m805_1","#g1489charleston_trane_intellipak/m805"
"/Sif-Solo/Site 1 - Sif/Charleston Road North/B60 - 1489 Charleston/Roof","AC-1 Trane Intellipak / 1489 Charleston","Output Override Lock","BBV","BV:15","DEV:2806104","econ_ovrde_lock_1","#g1489charleston_trane_intellipak/econ_ovrde_lock"
"/Sif-Solo/Site 1 - Sif/Charleston Road North/B60 - 1489 Charleston/Roof","AC-1 Trane Intellipak / 1489 Charleston","Purge Out to VAVs","BBV","BV:17","DEV:2806104","purge_out_to_vavs_1","#g1489charleston_trane_intellipak/purge_out_to_vavs"
"/Sif-Solo/Site 1 - Sif/Charleston Road North/B60 - 1489 Charleston/Roof","AC-1 Trane Intellipak / 1489 Charleston","SF Status bvo","BBV","BV:7","DEV:2806104","fstatus_1","#g1489charleston_trane_intellipak/fstatus"
"/Sif-Solo/Site 1 - Sif/Charleston Road North/B60 - 1489 Charleston/Roof","AC-1 Trane Intellipak / 1489 Charleston","Warm-up Mode","BBV","BV:2","DEV:2806104","wu_mode_1","#g1489charleston_trane_intellipak/wu_mode"
"/Sif-Solo/Site 1 - Sif/Charleston Road North/B60 - 1489 Charleston/Roof","AC-1 Trane Intellipak / 1489 Charleston","Eff run command","BMSV","MSV:1","DEV:2806104","m480_1","#g1489charleston_trane_intellipak/m480"
"/Sif-Solo/Site 1 - Sif/Charleston Road North/B60 - 1489 Charleston/Roof","AC-1 Trane Intellipak / 1489 Charleston","Run Condition","BMSV","MSV:2","DEV:2806104","run_condition_1","#g1489charleston_trane_intellipak/run_condition"
"/Sif-Solo/Site 1 - Sif/Charleston Road North/B60 - 1489 Charleston/Roof","AC-1 Trane Intellipak / 1489 Charleston","AC Alarm","BALM","BV:3","DEV:2806104","ac_alarm_1","#g1489charleston_trane_intellipak/ac_alarm"
"/Sif-Solo/Site 1 - Sif/Charleston Road North/B60 - 1489 Charleston/Roof","AC-1 Trane Intellipak / 1489 Charleston","Dirty Filter","BALM","BV:10","DEV:2806104","dirtyfilter_1","#g1489charleston_trane_intellipak/dirtyfilter"
"/Sif-Solo/Site 1 - Sif/Charleston Road North/B60 - 1489 Charleston/Roof","AC-1 Trane Intellipak / 1489 Charleston","FAN RNTM ALARM","BALM","BV:8","DEV:2806104","fan_rntm_alrm_1","#g1489charleston_trane_intellipak/fan_rntm_alrm"
"/Sif-Solo/Site 1 - Sif/Charleston Road North/B60 - 1489 Charleston/Roof","AC-1 Trane Intellipak / 1489 Charleston","HI DUCT STATIC","BALM","BV:9","DEV:2806104","hi_duct_static_1","#g1489charleston_trane_intellipak/hi_duct_static"
"/Sif-Solo/Site 1 - Sif/Charleston Road North/B60 - 1489 Charleston/Roof","AC-1 Trane Intellipak / 1489 Charleston","Return Air Temp High","BALM","BV:11","DEV:2806104","returnairtemphigh_1","#g1489charleston_trane_intellipak/returnairtemphigh"
"/Sif-Solo/Site 1 - Sif/Charleston Road North/B60 - 1489 Charleston/Roof","AC-1 Trane Intellipak / 1489 Charleston","Return Air Temp Low","BALM","BV:12","DEV:2806104","returnairtemplow_1","#g1489charleston_trane_intellipak/returnairtemplow"
"/Sif-Solo/Site 1 - Sif/Charleston Road North/B60 - 1489 Charleston/Roof","AC-1 Trane Intellipak / 1489 Charleston","SF_FAILED","BALM","BV:13","DEV:2806104","sf_failed_1","#g1489charleston_trane_intellipak/sf_failed"
"/Sif-Solo/Site 1 - Sif/Charleston Road North/B60 - 1489 Charleston/Roof","AC-1 Trane Intellipak / 1489 Charleston","SF Hand","BALM","BV:6","DEV:2806104","sf_hand_1","#g1489charleston_trane_intellipak/sf_hand"
"/Sif-Solo/Site 1 - Sif/Charleston Road North/B60 - 1489 Charleston/Roof","AC-1 Trane Intellipak / 1489 Charleston","Smoke Alarm","BALM","BV:4","DEV:2806104","smk_alrm_1","#g1489charleston_trane_intellipak/smk_alrm"
"/Sif-Solo/Site 1 - Sif/Charleston Road North/B60 - 1489 Charleston/Roof","AC-1 Trane Intellipak / 1489 Charleston","Supply Air Temp High","BALM","BV:14","DEV:2806104","supplyairtemphigh_1","#g1489charleston_trane_intellipak/supplyairtemphigh"
"/Sif-Solo/Site 1 - Sif/Charleston Road North/B60 - 1489 Charleston/Roof","AC-1 Trane Intellipak / 1489 Charleston","Supply Air Temp Low","BALM","BV:16","DEV:2806104","supplyairtemplow_1","#g1489charleston_trane_intellipak/supplyairtemplow"
"/Sif-Solo/Site 1 - Sif/Charleston Road North/B60 - 1489 Charleston/Roof","AC-1 Trane Intellipak / 1489 Charleston","Airflow in 1","POLLTOT","" ,"DEV:2806104","" ,"#g1489charleston_trane_intellipak/airflow_in_1"
"/Sif-Solo/Site 1 - Sif/Charleston Road North/B60 - 1489 Charleston/Roof","AC-1 Trane Intellipak / 1489 Charleston","Airflow in 2","POLLTOT","" ,"DEV:2806104","" ,"#g1489charleston_trane_intellipak/airflow_in_2"
"/Sif-Solo/Site 1 - Sif/Charleston Road North/B60 - 1489 Charleston/Roof","AC-1 Trane Intellipak / 1489 Charleston","Airflow in 3","POLLTOT","" ,"DEV:2806104","" ,"#g1489charleston_trane_intellipak/airflow_in_3"
"/Sif-Solo/Site 1 - Sif/Charleston Road North/B60 - 1489 Charleston/Roof","AC-1 Trane Intellipak / 1489 Charleston","Airflow in 4","POLLTOT","" ,"DEV:2806104","" ,"#g1489charleston_trane_intellipak/airflow_in_4"
"/Sif-Solo/Site 1 - Sif/Charleston Road North/B60 - 1489 Charleston/Roof","AC-1 Trane Intellipak / 1489 Charleston","Airflow in 5","POLLTOT","" ,"DEV:2806104","" ,"#g1489charleston_trane_intellipak/airflow_in_5"
"/Sif-Solo/Site 1 - Sif/Charleston Road North/B60 - 1489 Charleston/Roof","AC-1 Trane Intellipak / 1489 Charleston","Airflow in 6","POLLTOT","" ,"DEV:2806104","" ,"#g1489charleston_trane_intellipak/airflow_in_6"
"/Sif-Solo/Site 1 - Sif/Charleston Road North/B60 - 1489 Charleston/Roof","AC-1 Trane Intellipak / 1489 Charleston","CO2 from VAVs","POLLTOT","" ,"DEV:2806104","" ,"#g1489charleston_trane_intellipak/co2_input_1"
"/Sif-Solo/Site 1 - Sif/Charleston Road North/B60 - 1489 Charleston/Roof","AC-1 Trane Intellipak / 1489 Charleston","CO2 from VAVs","POLLTOT","" ,"DEV:2806104","" ,"#g1489charleston_trane_intellipak/co2_input_2"
"/Sif-Solo/Site 1 - Sif/Charleston Road North/B60 - 1489 Charleston/Roof","AC-1 Trane Intellipak / 1489 Charleston","Cool Requests #1","POLLTOT","" ,"DEV:2806104","" ,"#g1489charleston_trane_intellipak/in_cool_req_1"
"/Sif-Solo/Site 1 - Sif/Charleston Road North/B60 - 1489 Charleston/Roof","AC-1 Trane Intellipak / 1489 Charleston","Cool Requests #2","POLLTOT","" ,"DEV:2806104","" ,"#g1489charleston_trane_intellipak/in_cool_req_2"
"/Sif-Solo/Site 1 - Sif/Charleston Road North/B60 - 1489 Charleston/Roof","AC-1 Trane Intellipak / 1489 Charleston","Cool Requests #3","POLLTOT","" ,"DEV:2806104","" ,"#g1489charleston_trane_intellipak/in_cool_req_3"
