"Location","Control Program","Name","Type","Object ID","Device ID","Object Name","Path"
"/WebCTRL - FRIGG/Site 3 - Frigg/Quad Campus/B142 - 464 Ellis(1)/Roof","AC-1 Intellipak / 464 Ellis Q1","AHU Max Design Airflow","BAV","AV:7","DEV:2910207","design_flow_1","#gquad_1_ac-1_intellipak/design_flow"
"/WebCTRL - FRIGG/Site 3 - Frigg/Quad Campus/B142 - 464 Ellis(1)/Roof","AC-1 Intellipak / 464 Ellis Q1","Co2 Reset % av","BAV","AV:10","DEV:2910207","co2_reset_avo_1","#gquad_1_ac-1_intellipak/co2_reset_avo"
"/WebCTRL - FRIGG/Site 3 - Frigg/Quad Campus/B142 - 464 Ellis(1)/Roof","AC-1 Intellipak / 464 Ellis Q1","Common Lowest Space Static Pressure","BAV","AV:1","DEV:2910207","low_space_pressure_common_1","#gquad_1_ac-1_intellipak/low_space_pressure_common"
"/WebCTRL - FRIGG/Site 3 - Frigg/Quad Campus/B142 - 464 Ellis(1)/Roof","AC-1 Intellipak / 464 Ellis Q1","Cooling Capacity Out","BAV","AV:2","DEV:2910207","clg_cap_out_1","#gquad_1_ac-1_intellipak/clg_cap_out"
"/WebCTRL - FRIGG/Site 3 - Frigg/Quad Campus/B142 - 464 Ellis(1)/Roof","AC-1 Intellipak / 464 Ellis Q1","DA Cooling Setpoint (OA Reset)","BAV","AV:191","DEV:2910207","da_clsp_oar_av_1","#gquad_1_ac-1_intellipak/da_clsp_oar_av"
"/WebCTRL - FRIGG/Site 3 - Frigg/Quad Campus/B142 - 464 Ellis(1)/Roof","AC-1 Intellipak / 464 Ellis Q1","DA Cooling Setpoint (Optimized)","BAV","AV:195","DEV:2910207","da_clsp_opt_av_1","#gquad_1_ac-1_intellipak/da_clsp_opt_av"
"/WebCTRL - FRIGG/Site 3 - Frigg/Quad Campus/B142 - 464 Ellis(1)/Roof","AC-1 Intellipak / 464 Ellis Q1","Duct Static Pressure","BAV","AV:3","DEV:2910207","stat_press_1","#gquad_1_ac-1_intellipak/stat_press"
"/WebCTRL - FRIGG/Site 3 - Frigg/Quad Campus/B142 - 464 Ellis(1)/Roof","AC-1 Intellipak / 464 Ellis Q1","Econ Min Position","BAV","AV:4","DEV:2910207","econ_min_1","#gquad_1_ac-1_intellipak/econ_min"
"/WebCTRL - FRIGG/Site 3 - Frigg/Quad Campus/B142 - 464 Ellis(1)/Roof","AC-1 Intellipak / 464 Ellis Q1","Econ Min Position","BAV","AV:5","DEV:2910207","econ_nok_min_1","#gquad_1_ac-1_intellipak/econ_nok_min"
"/WebCTRL - FRIGG/Site 3 - Frigg/Quad Campus/B142 - 464 Ellis(1)/Roof","AC-1 Intellipak / 464 Ellis Q1","Economizer Position","BAV","AV:6","DEV:2910207","econo_pos_disp_1","#gquad_1_ac-1_intellipak/econo_pos_disp"
